"id","category","subcategory","title","content","sample_questions","keywords","location","county","plot_size","property_type","status","price","source_url","needs_verification"
"FY-001","COMPANY","OVERVIEW","What is Famyard Enterprises Ltd","Famyard Enterprises Ltd is a real estate company founded in 2015 and headquartered in Nyeri, Kenya, with a second office in Jikaze (Wiyumiririe, along the Nyeri-Nyahururu Highway). It sells value-added plots (land that already has water, electricity and graded roads installed) across Nyeri County, Laikipia County and Nanyuki. It also offers land surveying, conveyancing, land searches, Land Control Board approvals and succession services. Famyard serves local buyers, the middle and upper class, and Kenyans in the diaspora. Its slogan is ""Service you deserve, People you trust"" and it describes itself as the #1 real estate agency in Central Kenya.","Who is Famyard?|What does Famyard do?|Tell me about your company|Where are you based?","famyard, company, about, real estate, nyeri, land, plots, who we are","Nyeri","Nyeri","","","","","https://famyard.co.ke/who-we-are/",""
"FY-002","COMPANY","KEY_STATS","Famyard track record and key numbers","Famyard Enterprises reports: 1,200+ successful land transactions tracked with verified titles and a 0% dispute rate; an average 3-day closing time from offer to final documentation (the company says the industry standard is 14-28 days); 25+ strategic locations covered in Kenya; and about 40% of business coming from repeat and referral clients. Elsewhere the website also cites over 2,000 successful transactions / title deeds issued and 20+ (or 50+) estates. Famyard has 10+ years in business (since 2015).","How many plots have you sold?|Are you experienced?|How fast is closing?|Any disputes?","statistics, transactions, dispute rate, closing time, track record, experience, trust","","","","","","","https://famyard.co.ke/","Website gives conflicting figures: 1,200+ vs 2,000+ transactions; 20+ vs 50+ estates. Confirm which to use."
"FY-003","COMPANY","WHY_CHOOSE_US","Why buyers choose Famyard","Reasons buyers choose Famyard Enterprises: (1) real, staffed physical offices in Nyeri and Jikaze that buyers can visit; (2) fully serviced developments with water, electricity and graded roads already in place instead of raw land sold on promises; (3) ready title deeds, often processed within about 3 days; (4) free site visits before paying anything; (5) transparent all-inclusive pricing that includes title deed costs; (6) bank financing partnerships and flexible payment plans; (7) local market knowledge focused on Nyeri and Laikipia counties; (8) dedicated diaspora support; (9) 0% dispute rate on tracked transactions; (10) direct contact with no layers of middlemen.","Why should I buy from you?|What makes you different?|Are you trustworthy?|Why Famyard?","why choose, advantages, benefits, trust, transparency, serviced plots, ready title","","","","","","","https://famyard.co.ke/why-buyers-choose-famyard-enterprises-for-land-in-nyeri-and-laikipia/",""
"FY-004","COMPANY","MISSION","Famyard mission","Famyard Enterprises' mission is ""Ensuring that clients have value for their money."" With over 10 years of experience, Famyard aims to provide high-value property investments that exceed client expectations. It carefully selects prime locations, ensures seamless legal processes, and gives expert guidance so investors make informed and profitable decisions, from first-time buyers to seasoned investors. Famyard sees land as a foundation for wealth, security and a lasting legacy.","What is your mission?|What do you stand for?","mission, purpose, value for money","","","","","","","https://famyard.co.ke/our-mission/",""
"FY-005","COMPANY","VISION_VALUES","Famyard vision and core values","Famyard's vision is ""To be the most admired and sought after"" real estate company: setting new benchmarks through excellence and innovation, building lasting relationships and becoming the foremost choice in property investment across Kenya. Core values: Honest, Open, Ethical, Fair and Genuine; plus integrity, professionalism, efficiency, accountability and teamwork. All transactions follow Kenyan property law with experienced legal professionals.","What is your vision?|What are your values?","vision, values, integrity, ethics, honesty","","","","","","","https://famyard.co.ke/our-mission/",""
"FY-006","COMPANY","HISTORY","Famyard history 2015-2019","Famyard Enterprises timeline: 2015 - company launches in Nyeri with a modern approach to land investment. 2016 - starts specialised services for Kenyans in the diaspora. 2017 - passes 100 successful land transactions. 2018 - forms alliances with local financial institutions for flexible payment and financing. 2019 - invests in digital marketing and online platforms for browsing listings and booking site visits.","When was Famyard founded?|How long have you been in business?|What is your history?","history, timeline, founded 2015, milestones","","","","","","","https://famyard.co.ke/who-we-are/",""
"FY-007","COMPANY","HISTORY","Famyard history 2020-2026","Famyard Enterprises timeline continued: 2020 - introduces remote consultations and online site visits. 2021 - expands to more counties and emerging growth areas. 2022 - strengthens diaspora offerings with tailored financing packages. 2023 - adopts new technologies and deepens financial partnerships. 2024 - explores new markets and digital solutions. 2025 - opens a second office in Jikaze. 2026 (September) - launches the Chaka Lane 15 Famyard Estate in Chaka with former ICT Cabinet Secretary Joe Mucheru, with NCBA and Family Bank as financing partners.","What has Famyard achieved recently?|When did you open the Jikaze office?","history, jikaze office 2025, chaka launch 2026, milestones","","","","","","","https://famyard.co.ke/who-we-are/",""
"FY-008","COMPANY","LEADERSHIP","Famyard team and staff","Famyard Enterprises team: George Wamariu - CEO and Co-Founder; James Ndumia - Projects Manager; Fridah Muthoni - Title Deeds and Land Conveyancing; Charles Gikonyo - Surveyor; Alice Waitara - Secretary; Kiiru - Sales and Marketing. A client testimonial also mentions sales representative Mr. James showing plots to buyers.","Who runs Famyard?|Who is the CEO?|Who handles title deeds?|Who is your surveyor?","team, staff, ceo, george wamariu, james ndumia, fridah muthoni, charles gikonyo, alice waitara, kiiru","","","","","","","https://famyard.co.ke/our-team/",""
"FY-009","COMPANY","LEADERSHIP","George Wamariu - CEO and Co-Founder","George Wamariu is the Chief Executive Officer and Co-Founder of Famyard Enterprises Limited, based in Nyeri. Under his leadership Famyard became a trusted provider of real estate consultancy, plot sales, land conveyancing and agency services. He is known for integrity, professionalism and accountability, has helped individuals, enterprises, self-help groups (chamas) and SMEs make informed property investments, and is committed to community development and empowerment.","Tell me about the CEO|Who founded Famyard?","george wamariu, ceo, founder, leadership","","","","","","","https://famyard.co.ke/george-wamariu-ceo-famyard-enterprises-ltd/","The Standard newspaper and the CEO's linked Facebook use the name George Ndumia. Confirm the correct name for the bot."
"FY-010","COMPANY","PARTNERS","Famyard banking and financing partners","Famyard Enterprises partners with banks and institutions so buyers can finance plots. Partners shown on the website include Diamond Trust Bank (DTB), Co-operative Bank (Co-op Bank), Equity (Equity Insurance) and Nyeri Club. NCBA Bank and Family Bank were financing partners at the September 2026 Chaka launch, advising buyers on site. Because partner banks do their own due diligence (documents, title status, site verification), bank-financeable plots are an added trust signal.","Which banks do you work with?|Can I get a bank loan for a plot?|Do you have financing partners?","partners, banks, ncba, family bank, dtb, co-op bank, equity, financing, loan, mortgage","","","","","","","https://famyard.co.ke/ncba-and-family-bank-back-famyards-chaka-plots-launch/","Two partner logos on the homepage are unnamed. Confirm the full current list of partner banks."
